,question,modified_relation
3560,Which object in this image is capable of come to it master?,CapableOf
3561,Which animal in this image is a faithful companion?,IsA
3567,Which object in this image belongs to the category Animal-powered transport?,Category
3564,Which object in this image belongs to the category Nintendo hardware?,Category
3565,Which object in this image held by the person in the middle belongs to the category Wii hardware?,Category
3034,Which object in this image desires to be petted?,Desires
3568,what transportation method will be more expensive than the vehicle in the center of the image? ,Comparative
2197,Which object in this image is cheaper than a taxi?,Comparative
3569,which object in this image has to eat?,HasA
4484,Which object(s) in this image can fly without wings?,CapableOf
4485,Which object in this image is can shade the people standing under it?,CapableOf
4486,Which part of the lady touch the keyboard?,RelatedTo
4487,What big animals are in this image?,IsA
4480,Which object in this image is related to concertina?,RelatedTo
4481,Which object in this image can shade the lawn?,CapableOf
4482,Which object in this image might be found in polka band?,AtLocation
4488,What type of fruit can have a peel?,HasA
4489,What food is in the bowl? ,IsA
2903,Which object in this image is used for mark boundary?,UsedFor
1783,Which object in this image is used for marking a boundary?,UsedFor
2902,What is the family of the animal in this image?,Category
2901,What thing in this image is related to bamboo?,RelatedTo
2900,Which object in this image belongs to the category Telecommunications equipment?,Category
708,Which vehicle in this photo is lighter?,Comparative
709,What are the blue things around the tables?,ReceivesAction
2905,What thing in this image desires to have money to buy chocolate?,Desires
3035,What is a part of the place shown in the image?,PartOf
704,What in this image is a tropical fruit,IsA
705,Which thing is used to play jazz?,UsedFor
706,what object in this image is more independent than a dog?,Comparative
767,Which animal in the image is more independent?,Comparative
707,Why the woman wear a helmet?,ReceivesAction
160,Why the man wears a helmet?,ReceivesAction
368,What is protecting this person's head?,ReceivesAction
700,Which vehicle in this image is more dangerous than car,Comparative
701,Which vehicle in this image is much more dangerous than car,Comparative
702,Which vehicle in this image is more dangerous than car,Comparative
2486,What can be found in this place?,AtLocation
5319,Which object in this image is used for play?,UsedFor
3214,Which object in this image is a sphere?,IsA
3215,Which object in this image is capable of purring?,CapableOf
100,Which thing in this picture can purr?,CapableOf
1984,What is food in the image?,Category
3153,Which object in this image belongs to the category of Megafauna?,Category
3152,Which object in this image is a cold blood animal?,IsA
5777,Which animal in this image is a cold blood animal?,IsA
3150,Which object in this image is related to lift?,RelatedTo
3159,Which object in the image is used to sleep?,RelatedTo
1983,Which food in this image is created by vegetable?,CreatedBy
1888,Which vegetable dish can you see in this image?,CreatedBy
1981,What are these people using to float down this whitewater river ?,Comparative
1260,Which object in this image is capable of change to bed?,CapableOf
2482,Which object in this image wants to nap?,Desires
1266,Which thing does the place shown in this image have as a part?,PartOf
2480,Which objects in this image that the cat is sitting on can often be found on beds?,Category
2932,Which object in this image belongs to the category Beds?,Category
2816,Which object in this image can be used to rest on?,UsedFor
564,Which object in this image is the most complicated,HasProperty
565,Which object in this image can be found at a internet cafe,AtLocation
4714,Which object in this image is a barrier against people and the elephant?,IsA
4715,What thing is less loud than the object at the centre of this image?,Comparative
4716,Which object in this image is used for making music?,UsedFor
4933,Which object in this image can be used for make music?,UsedFor
4717,What object is thrown at a baseball game?,AtLocation
4710,Which object in this image desires more peanuts?,Desires
4712,Which object in this image can usually be found in wood and jungle as well as swamp?,AtLocation
2337,Which object in this image can be found in windy sky?,AtLocation
2336,Which object in this image can be found in windy sky?,AtLocation
2338,which object in this image belongs to the category 'service and dining?,Category
2339,Which type of liquid container is shown in this image ?,Category
4718,Which object in this image belongs to the category Water sports equipment?,Category
3698,Which Water sports equipment is used in this image ?,Category
4719,Which object in this image is a essential part of life?,IsA
3715,What object can be used as seats?,Category
3714,Which object in this image is used to seat?,UsedFor
3717,Which cuttlery in this image ist used for cutting?,Category
3716,which object in this image tastes yummy,HasProperty
3711,Which object in this image is usually  used in Music of Switzerland?,Category
3710,Which object in this image is a type of glove?,Category
3713,Which object in this image is a place i take afternoon nap?,IsA
3712,Which object in this image is a comfortable seat?,IsA
3504,Which object in this image is a large comfortable seat?,IsA
3719,Which object in this image can be played as an instrument?,UsedFor
3718,Which object in this image is a traditional American food?,IsA
4921,Which object described in this image is a kind of traditional american food?,IsA
4909,Which mode of transport in the image is slower than a car?,Comparative
4908,Which mode of transport in the image is typically subsidized by state funds?,HasProperty
4679,Which object in this image is an animal?,Category
4680,Which object in this image is an animal?,Category
4678,Which object in this image is related to a springbok?,RelatedTo
4901,Which object in this image is a part of computer?,HasA
4685,Which object in this image is a component of computer?,HasA
4676,which object on the left is better than desktop computer?,Comparative
4671,Which object in this image has a part frame?,PartOf
4670,Which object in this image is used for book storage?,UsedFor
3585,What is one thing in this image that can be used for storage?,UsedFor
5148,What thing in this image is capable of hunting a mouse?,CapableOf
1005,What think does the animal in the image likes to chase?,CapableOf
5147,what thing can you find in such a place shown in this image,AtLocation
3775,where can you find the the place shown in this image,AtLocation
5144,What object in this image is used for moving food into the mouth?,UsedFor
5145,What object in this image is used for eating liquids?,UsedFor
5142,Which object in this image contains a liquid?,HasA
5143,What object in this image might be found in a cupboard?,AtLocation
5140,What can likely be found in this place?,AtLocation
5141,What objects can be used to slice vegetables in this image?,UsedFor
120,what object in this image is an edible plant,Category
121,Which object in this image is edible plant,Category
123,what object in this image is used to make sound louder?,UsedFor
124,What tool the man is holding?,IsA
125,Which object in this image is related to chopping,RelatedTo
126,Which object in this picture is able to measure a distance,CapableOf
127,Which object in this image is the most related to measurement,RelatedTo
128,Which object can guide your lines,CapableOf
129,Where is the object at the left bottom side can be found at?,AtLocation
1188,Which desert in this image belongs to the category Foods?,Category
1189,Which desert in this image belongs to the category Foods?,Category
5442,What can I eat?,Category
3376,Which object in this image is related to a cornett?,RelatedTo
3375,Which object in this image is a part of forrest?,PartOf
3374,What can be found in this place?,AtLocation
3370,What is the place in this image used for?,UsedFor
3391,Which object in this image is more transportable than a desktop?,Comparative
1997,What is the vehicle in this image used for?,UsedFor
1519,Who is in this image?,HasA
1518,What seen here is shiny?,HasProperty
3392,What object is the input device of computer?,IsA
2921,Which object in this image is used as a input device for computer?,IsA
2923,Which object in this image is used as a input device for computer?,IsA
2922,Which object in this image is used as a input device for computer?,IsA
2924,Which object in this image is used as a input device for computer?,IsA
1515,What can be found at this place?,AtLocation
5667,What can be found in this place?,AtLocation
3574,What can be found in this place?,AtLocation
1514,What is often found in this place?,AtLocation
1517,What can be this place used for?,UsedFor
1741,What is the place in this image used for?,UsedFor
1516,Which object in this image is related to water taxi?,RelatedTo
1511,What is the place in this image used for?,UsedFor
1513,What is the place in this image used for?,UsedFor
3395,Which object in this image is a horse of course?,IsA
3397,What animal in this image is carrying person?,CapableOf
263,What category does dog belongs to?,Category
262,What is floating on water,CapableOf
4227,which object in this image can float on water?,CapableOf
1444,Which vehicle can float on water?,CapableOf
5460,Which object in this image is capable of floating in water?,CapableOf
5463,Which object in this image is capable of floating in water?,CapableOf
3129,which object in this image can float on water?,CapableOf
267,Which object in this image has three valves,HasA
266,Which object will you select for playing music,UsedFor
4036,Which object in this image desires trick others?,UsedFor
988,which tool in this image can be used to cutting?,Category
989,Tell me which object in this image is a cutting tool,Category
5830,What is the tool in this image that is used for cutting?,Category
980,"Which object is red, amber and green?",HasProperty
4619,"Which object in this image is coloured red, amber and green?",HasProperty
18,"Which object in this image are coloured red, amber and green",HasProperty
1087,"Which object in this image is coloured red, amber and green?",HasProperty
981,When this image is captured?,RelatedTo
986,Which tool in this image can be used to hit a nail?,CapableOf
987,which tool in this image can be used to break glass?,CapableOf
984,Which thing in this picture is used for sailing?,UsedFor
985,Which object in the image is most related to fishermen?,RelatedTo
3508,Which object in this image is a vertical plane?,IsA
3881,What thing in this image is a vertical plane?,IsA
3509,Which object in this image is usually painted?,HasA
5089,Which object in this image is better than a walkman?,Comparative
5088,Which object in this image is a product of the United States?,Category
5082,which object in this image can answer telephones?,CapableOf
5081,which object in this image is capable of reading the bible?,CapableOf
5080,which object in this image is capable of listening to music with earphones?,CapableOf
5087,Which part in this image is related to lorry?,RelatedTo
5086,What in this image belongs to the category Industries?,Category
5085,which object in this image can make jokes?,CapableOf
2671,which object in this image can give money to charity?,CapableOf
2670,which object in this image can wash their hair?,CapableOf
2673,which object in this image is capable of eating meat?,CapableOf
2675,what object in this image is capable of dineing with other people?,CapableOf
2674,which object in this image is capable of putting flowers in their hair?,CapableOf
2677,which object in this image is capable of stepping over a sleeping cat?,CapableOf
2676,what object in this image is capable of making tools?,CapableOf
2679,which object in this image can dance by themselves?,CapableOf
2678,what object in this image can throw a party?,CapableOf
2929,Which object in this image is a comfortable space?,IsA
2928,Which object in this image has the property of loyal to their owner?,HasProperty
2920,What can be found in this place?,AtLocation
1470,What device are you likely to find in a place such as this?,AtLocation
5095,Which electronic device can be found in this place?,AtLocation
2925,What kind of popular pet is sleeping in the bed in this image?,IsA
1678,Which object in this image is a popular pet?,IsA
5331,which object in this image usually has five fingers on each hand?,HasA
5330,which objects in this image can experience pain?,CapableOf
5333,which object in this image has four grandparents?,HasA
5332,which object in this image is capable of smell?,CapableOf
5335,Which animal in this image can be ride on?,UsedFor
5334,What is typically brushed prior to be cut prior to be dried with the object in the image?,HasProperty
5337,Which object in this image is used for playing the violin?,UsedFor
650,Which instrument in this image is played with a bow?,UsedFor
5336,Which object on the left and in the right top corner in this image is capable of drying your hair?,CapableOf
1208,Which action is less important than the action shown in this image,Comparative
1650,Which action is less important than the action shown in this image,Comparative
3179,Which object in this image can be used for hurt person?,CapableOf
2037,Which object in this image is related to the category Sports?,Category
3170,Which furniture in this image belongs to the category Sleep?,Category
3172,which object in this image is the colour green?,RelatedTo
3175,what's on the desk?,Comparative
3174,Which electronic appliance is a telecommunication equipment?,Category
3177,What object in this image can be used as light source?,Category
2036,which object in this image is bigger than dog?,Comparative
4499,which object in this image is bigger than mouse?,Comparative
724,Which animal in this image can live to be 200 years old,CapableOf
725,Who has the longest lives in the image?,HasA
722,Which animal in this image is called 'slow mover',RelatedTo
723,Which species that can be found in this image can hide in its shell,CapableOf
720,Usually what do you wear with the tie?,HasProperty
721,What is the name of the animal that has a hard shell,HasA
728,Which food in this image is sometimes called 'mystery meat'?,IsA
729,Which thing in this image might one open with a corkscrew?,UsedFor
1164,Which object in this image might use a peripheral?,RelatedTo
1165,What is usually found in this place?,AtLocation
1166,Which object in this image is related to SMS?,RelatedTo
1167,Which object in this image has a touchpad,PartOf
4204,What thing does the object at the bottom left side of this image have as a part?,PartOf
2361,Which object in this image has a touchpad?,PartOf
1160,Which object in this image desires professional satisfaction?,Desires
1161,Which object in this image is for Personal computing?,Category
2953,hich object in this image is considered to belong to the cateogry Personal computing?,Category
1162,which object in this image belongs to the category 'water sports'?,Category
1163,Which object in this image is related to surf?,RelatedTo
1168,Which object in this image belongs to mobile computer?,IsA
1169,Which object in this image have snow all the year long?,HasA
472,What thing in the image must be tuned frequently,ReceivesAction
471,What does an elephant has,HasA
1362,which object in this image is more loyal than cat?,Comparative
2785,which object in this image is slower than car?,Comparative
477,What is the electric appliance?,RelatedTo
486,What is the electronic appliance in this image,RelatedTo
1360,Which animal in this image likes to catch things?,Desires
1711,which object in this image is used to protect people from the rain?,UsedFor
1716,Which object in this image can go very fast?,CapableOf
1715,What is the animal in this image that smaller than human?,HasProperty
5255,which object in this image can 'meow'?,CapableOf
1368,What food in the image belongs to Irish cuisine?,Category
1369,which object in the image is a brass instrument?,Category
1864,Which object in this image is a form of transportation?,IsA
1718,Which transportation topic is shown in this image?,IsA
1717,Which transportation topic is shown in this image?,IsA
2031,Which object in this image is a modern instrument?,IsA
2786,which object in this image is more dangerous than car?,Comparative
3039,Which object in this image is more dangerous than a car?,Comparative
1670,what vehicle is safer than the vehicle in the image?,Comparative
5907,What thing is less dangerous than the object in the foreground of this image?,Comparative
1868,Which object in this image is capcable of cooling drinks?,UsedFor
4930,What can be found in this place?,AtLocation
4931,Which object in this image is used for playing songs?,UsedFor
4932,Which object in this image belongs to the category Animal?,Category
5046,which kind of animal could we find in this picture,Category
4934,Which object in this image is a flat place to store items?,IsA
4935,What team sport is shown in this image?,Category
2477,What team sport is this?,Category
4732,Which object in this image is a favorite food of many?,IsA
4730,Which animal in this image is also used to travel?,HasProperty
4731,What thing in this image might have cheese on it?,PartOf
5852,Which object in this image has cheese on it?,PartOf
2319,What object in this image is like a slug?,RelatedTo
2315,Which object in this image is a hermaphrodite?,IsA
2312,Which object in this image might you find in a zoo?,AtLocation
2313,Which object in this image is slimy?,HasProperty
2310,In which country can the snake in the center of the image be found?,AtLocation
2311,In what habitat are you likely to find the reptile depicted in this image?,AtLocation
5856,which object in this image can we ride for fun,HasProperty
5857,Which object in this image lives longer than mice?,Comparative
4055,which object in this image is longer lived than mice?,Comparative
5850,Which object in this image is related to tomato paste?,RelatedTo
5853,What is made with mild in this image?,CreatedBy
5858,Which object in this image has tusks?,HasA
3676,Which object in this image has tusks?,HasA
3773,Which object in the image is used to aid surfing?,Category
3771,What can likely be found in this place?,AtLocation
3770,Which object in this image belongs to Italian cuisine?,Category
3777,which object in this image makes life easier than pans?,Comparative
3776,What thing does the place shown in this image have as a part?,HasA
3779,What object in the image is a subclass of racket?,IsA
3778,Which object in this image is capable of love?,CapableOf
4654,Which object in this image is used to chill?,RelatedTo
4657,which object in this image can fly,RelatedTo
4651,Which object in this image might be a hazard?,Category
4650,What are the objects found in bus station?,AtLocation
4653,Which object in this image might be used to grill a steak?,UsedFor
4652,Which object in this image might be used to make cake?,RelatedTo
4659,Which object in this image is capable of enjoying music?,CapableOf
4658,which liquid in this image is denser than alcohol?,Comparative
108,Which will you select for chilling drinks,UsedFor
109,What is on the surface of the fruit in the image?,RelatedTo
102,What is the mental thing in the image?,RelatedTo
1759,Which object in this image is capable of talking to a plant?,CapableOf
1757,Which object in this image is typically American ?,Category
1756,which object in this image often want to do what they think,Desires
1755,Which object in this image is used for keeping oneself dry?,UsedFor
1966,Which object in this image is used for keeping yourself dry?,UsedFor
5585,Which tool in this image can be used to keep body dry?,UsedFor
1754,Which object in this image is an aircraft?,IsA
1753,Which object in this image has a rudder?,PartOf
1752,Which object in this image is slower than an airplane?,Comparative
1751,Which animal in this image can be found in water?,AtLocation
1750,Which object in this image is a mammal?,IsA
1285,What thing is less independent than the object in the centre of this image?,Comparative
1286,What object is related to television?,Category
1280,What in this image is capable of tailing a criminal?,CapableOf
1289,Which object in this image belongs to the category Kitchen?,Category
1288,Which object on the table is related to pizzeria?,RelatedTo
1579,Which object in this image is a kind of musical instrument?,RelatedTo
1578,Which musical instrument in this image belongs to the category Composite chordophones?,Category
689,Which country invented the stuff that in the man's hand?,Category
684,What object in this image is better than cake?,Comparative
687,what object in this image contains chlorophyl?,HasA
681,Tell me the vehicle in this image which is usually higher than car ,Comparative
680,What is the object in the man's left hand used for,UsedFor
305,What thing can the object in this image do?,UsedFor
1574,which object in this image can we use to chop wood,HasProperty
1240,Which object in this image pertain to the category Matter?,Category
5629,What can be found in the place that the tortoise is swimming in?,AtLocation
5628,What kind of pet is in this image?,CapableOf
5627,Which popular food can you see in this image?,IsA
1866,Which popular food is presented in this image?,IsA
5626,what in this image is capable of kill bird?,CapableOf
5625,what in this image is sensibler than dog?,Comparative
5624,Which animal in this image can be found in place?,AtLocation
5623,what do the person stand on?,HasProperty
5622,Where does the place in this image can be found in?,AtLocation
5621,Where does the place in this image can be found in?,AtLocation
1242,Which object in this image pertain to the category Woodworking?,Category
1245,Which object in this image is similar with a chair?,IsA
2520,Which object in this image is a kind of chair?,IsA
1247,Which object in this image pertain the category Human habitats?,Category
245,What condiment does the hot dog in the middle have on it?,AtLocation
244,What salty knotted snack can be seen here?,IsA
5326,Which object in this image is a salty knotted snack?,IsA
247,What stringed instrument is seen here?,IsA
246,Which thing in the image have many strings?,RelatedTo
482,Which instrument has many strings?,RelatedTo
243,Which thing in this image can be found in a birthday party,AtLocation
242,Which thing in the image likes to look out a window?,CapableOf
3962,Which object in this image is capable of look out window?,CapableOf
248,Which things in this picture are pink?,HasProperty
3699,Which object inside the mug in this image is related to Turkish coffee?,RelatedTo
1366,What is the place in this image used for?,UsedFor
3690,which object in this image is capable of drinking a cappaccino?,CapableOf
3692,Which object in this image has a long neck?,HasA
3350,What object in this image has a long neck?,HasA
4688,Which object in this image has longer neck?,HasA
3695,Which thing shown in this image is generally less dark than a mature bull?,Comparative
3696,What in this image could form a sandbar?,RelatedTo
3697,Which kind of boardsport is shown in this image?,Category
1367,Which homeware in this image is used for comfort?,UsedFor
3526,which object in this image can travel in a bus lane?,RelatedTo
2201,which object in this image is related to 'bus lane'?,RelatedTo
3527,which object in this image is a type of vehicle?,Category
3524,which object in this image is used for travelling between bus stops?,UsedFor
3522,which object in this image could be descriped as a 'double-decker'?,RelatedTo
3523,which object in this image is a means of transportation?,RelatedTo
3520,which object in this image is a type vehicle?,Category
5818,What in this image is an instance of the category Vehicles?,Category
3521,which object in this image can be used to travel?,RelatedTo
2202,which object in this image is related to travel?,RelatedTo
5307,What are the people travelling with in this image?,RelatedTo
3528,Which objects in this image are made of wood?,RelatedTo
4877,Which object in this image is related to wood?,RelatedTo
3529,Which object in this image can hold drink?,UsedFor
1364,Which object in this image is used for tighten loose screw?,UsedFor
2699,which object in this image is capable of completing a senence?,CapableOf
2698,which object in this image can taste salt?,CapableOf
2697,which object in this image must eat to survive?,HasA
2695,which object in this image is can decide on a place to live?,CapableOf
2694,which object in this image can clean a messy room?,CapableOf
2693,which object in this image can eat shrimp for dinner?,CapableOf
2692,which object in this image is capable of having social gatherings?,HasA
2691,which object in this image can read books for enjoyment?,CapableOf
2690,what object in this image is capable of drinking coffee in the morning?,CapableOf
1363,What can be driven on in this place?,UsedFor
1142,Which object in this image has hair?,HasA
1143,Which object in this image is able to see well in dark?,CapableOf
1141,What can be found in this place?,AtLocation
1146,Which object in this image is used for send email to others?,UsedFor
1147,Which object in this image is capable of accelerating research?,CapableOf
1144,Which device in this image belongs to the category computers?,Category
1145,What is the place in this image used for?,CapableOf
3271,What is the place in this image capable of?,CapableOf
1807,What is the place in this image used as?,CapableOf
1148,Which object in this image belongs to the category furniture?,Category
768,Normally you can find this food from where?,AtLocation
769,Which thing in this image is like a surfboard?,RelatedTo
336,what object in this image is a woodwind instrument?,Category
1745,What thing in this image has frosting?,HasA
766,Which animal in the image are more loyal?,Comparative
4282,What in this image is related to snake pit?,RelatedTo
4283,Which animal in this image can be found in louisiana?,AtLocation
4280,What in this image can be found in brush?,AtLocation
4281,Which object in this image is used for health cares?,UsedFor
4286,Which object in this image is dangerous?,CapableOf
4287,Which animal in this image can be found in india?,AtLocation
4284,Which object in this image is  king cobra?,RelatedTo
4285,Which object in this image can be found in an old box?,AtLocation
4288,Which animal in this image can be found in kitchen?,AtLocation
4289,Which animal in this image can be found in kansa?,AtLocation
381,Whether the food on the table is fried or not?,IsA
384,What is football used for,UsedFor
385,Which thin in the image can be used for carrying goods?,UsedFor
386,Tell me the name of the domestic animal in this image,IsA
387,What category does a horse belongs to,Category
389,What category does coke belongs to?,Category
4758,Which object in this image is related to mutton?,RelatedTo
4751,Which object in this image might also be of the type pinstripe?,RelatedTo
4752,Which object in this image is used for telling the time?,UsedFor
4753,Which object in this image indicates the passage of time?,UsedFor
4754,Which object in this image has pointers called hands?,HasA
1739,Which object in this image has pointers called hands?,HasA
4755,Which object in this image is related to hour hand?,RelatedTo
4756,Which object in this image has a dial?,PartOf
5872,which object in this image are fun to learn to play,HasProperty
5873,Which object in this image belongs to the category Sandwiches?,Category
5870,Which object in this image is a great pet?,IsA
5874,What tool can be used to chop firewood?,UsedFor
5063,What is the object is this image can be used for?,UsedFor
5875,Which object in this image is a animal that hate water but like fish?,IsA
5878,What object in this image can be used for physical exercise?,Category
5879,Which object in this image could be used for click fraud?,RelatedTo
1074,Which object in this image belongs to the category Headgear?,Category
3759,What in this image could make up a lawn?,RelatedTo
1310,Which object in this image is related to lawn?,RelatedTo
3758, Which object in this image constists out of frozen liquid?,HasProperty
5376,Which object in this image belongs to Urban design?,Category
3751,Which object in this image is a citrus?,HasProperty
3750,Which object in this image is crunchy?,IsA
3755,What in this image has lips?,RelatedTo
3754,what can we see from the image,Category
3757,Which object in this image is related to bar of chocolate?,RelatedTo
4633,Which object in this image belongs to the category Digital device?,Category
1942,Which object in this image belongs to Digital electronics?,Category
2191,Which object in this image is prickly?,IsA
1674,Which object in this image has a prickle?,IsA
4631,Which Street food is shown in this image?,Category
2876,which kind of street food can we find in this image,Category
2193,Which object in this image is animal?,Category
2194,What thing seen here is expensive?,HasProperty
2195,which object in this image is capable of eating fruit?,CapableOf
2198,which object in this image is a common form of public transportation?,IsA
2199,which object in this image is related to the category 'road vehicles'?,Category
4639,which object in this image can analyze characters in the play ,CapableOf
1071,What is the class of the animal in the middle of this image?,Category
5061,What is the class of the animal presented in this image?,Category
4813,Which object in this image is a ball?,IsA
4812,Which object in this image can be used for create music?,UsedFor
4811,Which object in this image is used for making music?,UsedFor
4810,Which object in this image can be found in a chamber quartet?,AtLocation
168,What is the animal famous for?,HasProperty
166,Which object has air inside,HasA
167,which object in the image can protect one from the rain?,UsedFor
5246,which object in this image can be used to protect someone from the rain?,UsedFor
161,What kind of machine the man choose to travel?,UsedFor
543,What thing in the image is used for travel?,UsedFor
162,What is the toy?,IsA
163,What object in this image is a furry mammal?,IsA
4815,What's one thing here that can turn brown?,CapableOf
4814,Which object in this image could also form a field?,RelatedTo
2734,What object in this image is a form of transportation?,IsA
2735,Which object in this image is used to make music?,UsedFor
2736,Which object in this image is used for beat?,UsedFor
2737,Which object in this image belongs to the category Percussion instruments?,Category
2730,What can be found in this place?,AtLocation
2733,Which object in this image can sometimes be found in the air?,AtLocation
2738,Which object in this image is related to trumpet?,RelatedTo
2739,Which object in this image is related to trunk?,RelatedTo
4098,Which object in this image has a trunk?,RelatedTo
3134,What object can float on the water?,UsedFor
4226,What is the object in the middle used for?,UsedFor
505,What is floating on the water?,UsedFor
809,Which object in this image is related to long string?,RelatedTo
808,What does elephant belong to,Category
803,What the cylinder object is used for?,CapableOf
802,Which object is likely to be found in a rainy place ,AtLocation
801,What thing in this image can be used to shield yourself from rain if you must be outside,UsedFor
1271,What object can shield yourself from rain?,UsedFor
800,Which object in this image is related to rain protection,RelatedTo
804,Which animal is able to carry a trunk,CapableOf
5274,Which object in this image is used to perform music?,UsedFor
656,Which object in this image can be used to perform music,UsedFor
5275,Which object in this image belongs to the category String instruments?,Category
5276,Which object in this image is related to pluck?,RelatedTo
1776,Which object in this image has a core?,HasA
1771,Which animal can you see in this image?,Category
5271,Which object in this image tells you the time?,Category
1773,Which object in this image is used for boiling liquids like water?,UsedFor
1772,Which sports equipment can you see in this image?,Category
4303,What object in this image is a type of sports equipment?,Category
1779,Which object in this image is a barrier?,IsA
1778,Which kitchen tool in this image has the property of sharp and dangerous?,HasProperty
1551,Which plant in this image is a green plant?,IsA
1550,Which plant in this image is a green plant?,IsA
1553,which plant in this image is less high than corn?,Comparative
1552,Which object in this image is capable of truk?,CapableOf
1555,Which link is less important than the action shown in this image,Comparative
1557,what is it  in this image belongs to the category Grasslands?,Category
1556,what is it in this image is a policeman?,IsA
1559,what is it in this image is related to pinto?,RelatedTo
1558,what is it in this image belongs to the category Central Asian culture?,Category
3036,Which object in this image has strings?,PartOf
3037,Which object in this image can be used to play bluegrass music?,CapableOf
3030,What object in this image is part of transport infrastructure?,Category
3032,What kind of vehicle is very fast in this image.,RelatedTo
3033,Which object in this image is a form of transportation?,IsA
209,What is train,IsA
5605,Which object in this image belongs to Street culture?,Category
5604,Which animal in this image is slower than car?,IsA
5607,Which object in this image belongs to the category Food and drink in the United States?,Category
5606,Which object in this image can be related to Snack food?,Category
5601,Which sports equipment in this image is a roller sport?,Category
5608,Which object in this image is a big gray animal with a trunk?,IsA
3379,"which object in this image is a big, grey, animal with a trunk?",IsA
4099,Which object in this image is a big gray animal with trunk?,IsA
4498,Which object in this image is a big gray animal with trunk?,IsA
229,Which food in this image can be squeezed,ReceivesAction
228,What action do you need to play this game?,RelatedTo
2868,Which object in this image is related to throw?,RelatedTo
5581,Which object in this image can be thrown?,RelatedTo
226,What thing in the image can run fast?,CapableOf
225,What object in this image is mostly carried by women?,UsedFor
223,Which object in this picture is used to play music?,UsedFor
3720,What is the large instrument in the middle of the picture used for?,UsedFor
222,Which electronic device in the image can be used for advertising?,UsedFor
2432,What object in this image is used for advertising?,UsedFor
3705,Which object in this image is used for advertising?,UsedFor
221,Which object belongs to the category of Boxing?,Category
220,Which object in this photo belongs to Martial arts?,Category
2508,Which object in this image belongs to the category Computers?,Category
2507,Which object in this image can used for protecting people,UsedFor
2505,Which object in this image is like a bird?,RelatedTo
2504,What object in this image has doors?,HasA
866,What thing in the image has doors?,HasA
2503,What is the flying vehicle in this image?,IsA
2502,Which object in this image is used for transporting people or things more quickly than by road or rail?,UsedFor
2501,Which object in this image can be driven?,RelatedTo
2500,Which object in this image can be driven?,RelatedTo
5048,What in this image might have a drawer?,RelatedTo
5047,which animal in this image is bigger than cat?,Comparative
5045,What herbivore is in this image?,Category
5044,What objects in this image want to eat peanuts?,Desires
5042,What object is stronger than a mule in this image?,Comparative
5041,Which object in this image belongs to the category Fauna of Africa?,Category
2160,which object in this image is capable of eating cat food?,CapableOf
1256,Which object in this image can be found in in living room?,AtLocation
1526,What can be found in a restaurant kitchen?,AtLocation
1255,Which object in this image  belongs to furniture?,IsA
4111,What is an example of a piece of furniture in the image?,IsA
1252,What in this image is related to tidy?,RelatedTo
1521,Which object in this image is capable of turn leave?,CapableOf
1250,Which object in this image can seat a person?,IsA
2129,Which object in this image is a seat?,IsA
5181,What body part shown in this image may be used for laughing?,RelatedTo
3203,Which object in this image could be considered in the category of things related to Imaging?,Category
3202,What is usually found in this place?,AtLocation
5394,Which object in this image can be found in the office?,AtLocation
3201,Which vehicle in this image can fly?,CapableOf
2774,Which object is capable of flight in this image?,CapableOf
5188,which object in this image can risk doing something interesting,HasA
1128,What can be found in this place?,AtLocation
1129,What can be found in this place?,AtLocation
5189,What object that is a type of instrument?,RelatedTo
3149,Which object can be used as an instrument?,RelatedTo
1120,Which object in this image can be found in office build,AtLocation
1121,Which object in this image is used for data storage?,UsedFor
1122,What in this image could reply to a letter?,CapableOf
1124,Which object in this image is a stringed instrument?,IsA
3314,Which type of string instrument is used in this image?,IsA
1125,Which object in this image is capable of age in bottle?,CapableOf
1126,What object can hold liquid?,UsedFor
1127,What clothing is the man in the foreground wearing,Category
2864,Which object in this image is capable of live in wild?,CapableOf
2865,Which object in this image is a good leaper?,IsA
4776,what object in this image can cry?,CapableOf
4777,what object in this image can cry form pain?,CapableOf
4774,what type of sport is being played in this image?,Category
4775,what object in this image is capable of making lists?,CapableOf
4772,which object in this image can run faster than cars,IsA
4771,which object in this image is more efficient than bus?,Comparative
4778,what object in this image has sight?,CapableOf
4779,what objects in this image are capable of learning to play the harmonica?,CapableOf
5810,which object in this image is less powerful than desktop computer?,Comparative
5811,Which object in this image belongs to the category computing input equipments?,Category
5812,Which object in this image belongs to the category computing output device?,Category
5813,Which furniture in this image can be found in in office?,AtLocation
5814,Where are the place in the image?,HasProperty
4618,Which object in this image is related to green light?,RelatedTo
4611,What object is less social than the object in the left of this image?,Comparative
4610,What object in this image is independent?,HasProperty
4612,What object in this image scratches furniture?,CapableOf
4615,Which object in this image might be used to guard a house?,UsedFor
425,Which animal in the image can be used to guard animal?,UsedFor
4614,What object in this image might be used for friendship?,UsedFor
4617,Which animal in this image can jump very high?,CapableOf
4616,Which animal in this image is related to pony?,RelatedTo
2704,which action in this image makes player feel more pressure than fun,Comparative
146,What is the animal likes to eat?,RelatedTo
5458,Which object in this image is used for going down a river?,UsedFor
144,What is the heaviest thing in this picture?,HasProperty
115,What is the heaviest creature in this picture?,HasProperty
4883,Which object in this image is sweet and juicy?,HasProperty
5027,What is the sweet and juicy object in this image?,HasProperty
